


Date	Local_time	Epoch_time	AcqTime_(s)	Line	Species	Flowmeter_(ml/min)	Encoder_counts	Diff_counts	Cond_(uS/cm)	Cond_Temp	Dust (# > 1.0 Mikrom)	EDAQ_Volts	pH_disabled	Na_disabled	SO4_disabled	Ca_disabled	H2O2_disabled	NH4_disabled	MQ/SPLE	NEW BAG	BREAK	LOG	
07/09/2022	12:57:56	1662526676.668264870	78.0	Sample	Sample	9.9340E-1	1.1669E+4	1.8000E+1	8.8000E-1	2.3300E+1	2.2200E+2	-5.3218E+0	NaN	NaN	NaN	NaN	NaN	NaN	0.0000E+0	0.0000E+0	0.0000E+0	0.0000E+0
07/09/2022	12:57:57	1662526677.667321680	79.0	Sample	Sample	9.3860E-1	1.1650E+4	1.9000E+1	8.8000E-1	2.3300E+1	2.4500E+2	-5.3218E+0	NaN	NaN	NaN	NaN	NaN	NaN	0.0000E+0	0.0000E+0	0.0000E+0	0.0000E+0
07/09/2022	12:57:58	1662526678.668379310	80.0	Sample	Sample	1.2480E+0	1.1631E+4	1.9000E+1	8.9000E-1	2.3300E+1	2.3900E+2	-5.3218E+0	NaN	NaN	NaN	NaN	NaN	NaN	0.0000E+0	0.0000E+0	0.0000E+0	0.0000E+0
07/09/2022	12:57:59	1662526679.668436530	81.0	Sample	Sample	1.0082E+0	1.1612E+4	1.9000E+1	8.9000E-1	2.3300E+1	2.6400E+2	-5.3218E+0	NaN	NaN	NaN	NaN	NaN	NaN	0.0000E+0	0.0000E+0	0.0000E+0	0.0000E+0
07/09/2022	12:58:00	1662526680.668493270	82.0	Sample	Sample	9.4350E-1	1.1593E+4	1.9000E+1	8.7000E-1	2.3300E+1	2.4700E+2	-5.3218E+0	NaN	NaN	NaN	NaN	NaN	NaN	0.0000E+0	0.0000E+0	0.0000E+0	0.0000E+0
07/09/2022	12:58:01	1662526681.668550490	83.0	Sample	Sample	1.1224E+0	1.1575E+4	1.8000E+1	8.6000E-1	2.3300E+1	2.7600E+2	-5.3218E+0	NaN	NaN	NaN	NaN	NaN	NaN	0.0000E+0	0.0000E+0	0.0000E+0	0.0000E+0
07/09/2022	12:58:02	1662526682.668607710	84.0	Sample	Sample	1.0618E+0	1.1556E+4	1.9000E+1	8.4000E-1	2.3300E+1	3.0900E+2	-5.3218E+0	NaN	NaN	NaN	NaN	NaN	NaN	0.0000E+0	0.0000E+0	0.0000E+0	0.0000E+0
07/09/2022	12:58:03	1662526683.668664930	85.0	Sample	Sample	9.8210E-1	1.1537E+4	1.9000E+1	8.2000E-1	2.3300E+1	2.8800E+2	-5.3218E+0	NaN	NaN	NaN	NaN	NaN	NaN	0.0000E+0	0.0000E+0	0.0000E+0	0.0000E+0
07/09/2022	12:58:04	1662526684.668722150	86.0	Sample	Sample	1.0135E+0	1.1519E+4	1.8000E+1	8.0000E-1	2.3300E+1	3.1100E+2	-5.3218E+0	NaN	NaN	NaN	NaN	NaN	NaN	0.0000E+0	0.0000E+0	0.0000E+0	0.0000E+0
07/09/2022	12:58:05	1662526685.668779370	87.0	Sample	Sample	1.1010E+0	1.1500E+4	1.9000E+1	7.9000E-1	2.3300E+1	3.2400E+2	-5.3218E+0	NaN	NaN	NaN	NaN	NaN	NaN	0.0000E+0	0.0000E+0	0.0000E+0	0.0000E+0
07/09/2022	12:58:06	1662526686.668836590	88.0	Sample	Sample	1.0117E+0	1.1481E+4	1.9000E+1	7.7000E-1	2.3300E+1	3.1000E+2	-5.3218E+0	NaN	NaN	NaN	NaN	NaN	NaN	0.0000E+0	0.0000E+0	0.0000E+0	0.0000E+0
